corpus,m,ef_construction,ef_search,k,base_count,query_count,dim,build_time_seconds,recall_at_1,recall_at_10,recall_at_100,latency_mean_us,latency_p50_us,latency_p95_us,latency_p99_us,latency_min_us,latency_max_us,latency_samples
Glove,16,100,50,100,399000,1000,200,387.697987,0.991000,0.992800,0.972070,618.361,576.400,1067.600,1409.300,156.200,2722.800,1000
Glove,16,100,100,100,399000,1000,200,387.697987,0.991000,0.992800,0.972070,661.041,623.400,1192.100,1521.300,153.000,2555.700,1000
Glove,16,100,200,100,399000,1000,200,387.697987,0.994000,0.995300,0.985930,1184.238,1113.800,2030.400,2634.900,334.300,4036.200,1000
Glove,16,200,50,100,399000,1000,200,791.605522,0.993000,0.993800,0.976670,501.392,482.800,883.800,1060.500,155.300,2125.700,1000
Glove,16,200,100,100,399000,1000,200,791.605522,0.993000,0.993800,0.976670,498.863,466.400,843.200,1077.700,153.600,3085.600,1000
Glove,16,200,200,100,399000,1000,200,791.605522,0.994000,0.995900,0.987930,908.240,853.800,1546.300,2152.600,329.300,4431.400,1000
Glove,32,100,50,100,399000,1000,200,510.873781,0.995000,0.996600,0.986950,785.976,737.000,1368.300,1601.300,178.900,2493.300,1000
Glove,32,100,100,100,399000,1000,200,510.873781,0.995000,0.996600,0.986950,772.444,731.800,1371.300,1606.100,200.700,2323.800,1000
Glove,32,100,200,100,399000,1000,200,510.873781,0.997000,0.998100,0.994580,1571.021,1517.900,2805.300,3382.900,406.000,4864.000,1000
Glove,32,200,50,100,399000,1000,200,1178.269329,0.997000,0.997900,0.988530,819.162,766.700,1453.900,2061.100,201.000,3815.400,1000
Glove,32,200,100,100,399000,1000,200,1178.269329,0.997000,0.997900,0.988530,831.104,787.800,1394.400,1925.100,247.600,2782.100,1000
Glove,32,200,200,100,399000,1000,200,1178.269329,0.999000,0.998900,0.995200,1420.285,1267.100,2641.300,3733.800,455.600,6319.800,1000
